term,conf.low,estimate,conf.high,p.value,outcome
BCEtP,-32.393435857856694,-4.054580239047724,24.284275379761244,0.8139469126226657,third_Ventricle
BCEtP,-18.767772211676572,49.092744977279466,116.9532621662355,0.23406745101706183,fourth_Ventricle
BCEtP,-271.5805246647325,82.07088525875116,435.7222951822348,0.7026716287815491,Brain_Stem
BCEtP,-13.031235809938378,12.310406043750449,37.652047897439274,0.4242710962078968,CSF
BCEtP,-6.52052405603923,-2.4135612355749303,1.693401584889369,0.3337239809328376,Optic_Chiasm
BCEtP,-7.178378485571356,13.352748506640053,33.88387549885146,0.2847287022114966,CC_Posterior
BCEtP,-8.672206400669783,7.578565916901986,23.829338234473756,0.4430343471760746,CC_Mid_Posterior
BCEtP,-16.298494373840096,1.6656852759972949,19.629864925834685,0.8787806899380922,CC_Central
BCEtP,-14.201450344426231,6.753356769778777,27.708163883983783,0.5960379629752135,CC_Mid_Anterior
BCEtP,-7.798801018331195,11.277961321862675,30.354723662056543,0.3308424190503798,CC_Anterior
BCEtP,-6891.470803584582,3718.701460077119,14328.87372373882,0.5642801183046711,BrainSegVol
BCEtP,-550.4728475018178,62.23753451599003,674.9479165337978,0.8673071233545353,SubCortGrayVol
BCEtP,-2428.585664732567,2336.4579268882076,7101.5015185089815,0.4199396532057771,TotalGrayVol
BCEtP,-3985.1847346719487,5525.861231269876,15036.907197211702,0.3392489951875538,SupraTentorialVol
BCEtP,-12.90808866600769,7.3434421519932895,27.59497296999427,0.550879200964293,Left_Inf_Lat_Vent
BCEtP,-5.186050792187329,-2.6554799983558293,-0.12490920452433008,0.08433954193513793,Left_vessel
BCEtP,-16.279519641843958,0.2125851601235499,16.704689962091056,0.98308423515741306,Right_Inf_Lat_Vent
BCEtP,-0.5676807364562917,0.7499822876259536,2.067645311708199,0.3491643776770599,Right_vessel
BCEtP,-182.0679166034162,143.36782855300575,468.8035737094277,0.46868171036225104,Lateral_Ventricle
BCEtP,-334.8779853061678,-55.67955175776809,223.5188817906316,0.7428910094826378,Cerebellum_White_Matter
BCEtP,-512.0388481979912,165.04952982135038,842.1379078406919,0.6884528777685766,Cerebellum_Cortex
BCEtP,-106.6299939465273,-37.22122581356129,32.18754231940473,0.3777383608095941,Thalamus_Proper
BCEtP,-38.222692692463795,30.47625309758855,99.1751988876409,0.4655793240117816,Caudate
BCEtP,-77.29487704831533,21.18563428664003,119.66614562159538,0.7234517682726762,Putamen
BCEtP,-14.524603128732196,13.596967065915592,41.71853726056338,0.4264403408550176,Pallidum
BCEtP,-60.44666397031347,-23.26469172892135,13.917280512470775,0.30339420941624073,Hippocampus
BCEtP,-27.71489365494903,-3.0368259149861543,21.641241824976724,0.8395947406250233,Amygdala
BCEtP,-10.256027915532833,1.245235542447175,12.746499000427182,0.8586543308894626,Accumbens_area
BCEtP,-42.958111717405856,22.655752042290384,88.26961580198663,0.5700688988112861,VentralDC
BCEtP,-18.514481949822674,-0.7546798087889751,17.005122332244724,0.9442764955823004,choroid_plexus
BCEtP,-963.1653215698373,1055.5268969445858,3074.219115459009,0.3897584770655411,CortexVol
BCEtP,-1694.36398038707,1118.8379791400018,3932.0399386670733,0.5129994517614436,CerebralWhiteMatterVol
BCEtP,-587.4061258466113,267.0793015074692,1121.5647288615496,0.6071694780138935,surface_area
BCEtP,-6435.769877798677,3947.0523463122922,14329.87457042326,0.5317776793364155,total_brain
BDCPP,-34.42602909068038,-6.790053527354336,20.845922035971707,0.6861140024718109,third_Ventricle
BDCPP,-39.63901297123545,33.01524234793896,105.66949766711338,0.45479348527586017,fourth_Ventricle
BDCPP,-363.8191763025795,-76.88141611226366,210.05634407805218,0.6594170620131805,Brain_Stem
BDCPP,-15.07831269833179,11.577278832678637,38.23287036368906,0.47497582536677474,CSF
BDCPP,-10.122274021237363,-5.29384153793757,-0.46540905463777715,0.07132543993093154,Optic_Chiasm
BDCPP,-12.54932280951737,2.1002903752609345,16.74990356003924,0.8135724295957856,CC_Posterior
BDCPP,-10.239919764262744,1.6430897109265126,13.526099186115768,0.8200835567017717,CC_Mid_Posterior
BDCPP,-18.21375875908705,1.6367591571780427,21.48727707344314,0.8921176316456928,CC_Central
BDCPP,-18.09416330570675,-0.06599863109323825,17.962166043520277,0.9951955010247733,CC_Mid_Anterior
BDCPP,-0.3199502721200709,16.173526197892716,32.66700266790551,0.10675628852185626,CC_Anterior
BDCPP,-6740.708379033162,4856.925494362533,16454.55936775823,0.4909230165185915,BrainSegVol
BDCPP,-445.757728263226,123.55301896775418,692.8637661987343,0.7211145619100415,SubCortGrayVol
BDCPP,-4307.303246710768,2408.445942567333,9124.195131845434,0.5552656213210982,TotalGrayVol
BDCPP,-5341.85210884173,5775.299317670678,16892.450744183086,0.39283218744340476,SupraTentorialVol
BDCPP,0.647832788939283,17.754875213480812,34.86191763802234,0.0877954420624254,Left_Inf_Lat_Vent
BDCPP,-3.1586898683771087,-0.3851391192119712,2.3884116299531666,0.8193301083886164,Left_vessel
BDCPP,-8.30855907809358,6.8058930915226,21.92034526113878,0.4588985030919791,Right_Inf_Lat_Vent
BDCPP,-1.69246099488403,0.13244905679590377,1.9573591084758375,0.9049736330064739,Right_vessel
BDCPP,244.71059637720788,507.323663702776,769.9367310283442,0.0014851139383231793,Lateral_Ventricle
BDCPP,-555.4451083242743,-261.7024890191849,32.04013028590447,0.1428008142065833,Cerebellum_White_Matter
BDCPP,-661.4904937230509,-48.92933443700486,563.6318248490412,0.8954704372991906,Cerebellum_Cortex
