y,mediator,type,OPE,window,model,indirect_effect,indirect_effect_CI,mediator_effect,mediator_effect_CI,direct_effect,direct_effect_CI,total_effect,total_effect_CI
Pegboard_DH_Drops,rh_parstriangularis,CV,BCETP,5-8y,mi,0.68%,"(0.05% , 1.76%)",-0.02,"(-0.03 , 0)",1.47%,"(-0.75% , 3.73%)",2.16%,"(0.03% , 4.45%)"
Pegboard_DH_Drops,rh_parstriangularis,CV,OPE,5-8y,qg,4.08%,"(0.2% , 12.52%)",-0.11,"(-0.2 , -0.02)",8%,"(-4.69% , 22.38%)",12.41%,"(-0.6% , 30.21%)"
