y,mediator,type,OPE,window,model,indirect_effect,indirect_effect_CI,mediator_effect,mediator_effect_CI,direct_effect,direct_effect_CI,total_effect,total_effect_CI
Pegboard_DH_Drops,rh_parstriangularis,CV,BCETP,5-8y,mi,0.071,"(0.005 , 0.183)",-0.179,"(-0.34 , -0.017)",0.153,"(-0.079 , 0.384)",0.224,"(0.003 , 0.457)"
Pegboard_DH_Drops,rh_parstriangularis,CV,OPE,5-8y,qg,0.04,"(0.002 , 0.118)",-0.11,"(-0.199 , -0.021)",0.077,"(-0.048 , 0.202)",0.117,"(-0.006 , 0.264)"
