term,conf.low,estimate,conf.high,p.value,outcome
BCEtP,-0.02633528841752056,-0.004372365981084261,0.017590556455352038,0.7433226274632105,lh_bankssts
BCEtP,-0.027827267592030632,-0.0021919162819210546,0.023443435028188523,0.8881535567323336,rh_bankssts
BCEtP,-0.05543970162442152,-0.02147745690175868,0.012484787820904161,0.2982504665296126,lh_caudalanteriorcingulate
BCEtP,-0.037411708148766404,-0.006774729762621395,0.023862248623523617,0.7160632788751053,rh_caudalanteriorcingulate
BCEtP,-0.07042311521396723,-0.03168692600785994,0.007049263198247349,0.17845705152962998,lh_frontalpole
BCEtP,0.016043421722262377,0.05517466037636485,0.09430589903046732,0.020382710431743,rh_frontalpole
BCEtP,-0.005724311989584738,0.014673093660468874,0.03507049931052249,0.23671278052289046,lh_isthmuscingulate
BCEtP,-0.0547584328461318,-0.026556202188260835,0.0016460284696101259,0.12141743721958764,rh_isthmuscingulate
BCEtP,-0.03102862507733211,-0.011595750070791992,0.007837124935748126,0.3263476359630525,lh_parsopercularis
BCEtP,-0.01819100956455356,-3.0913820557255673e-4,0.01757273315340845,0.9773144920277258,rh_parsopercularis
BCEtP,-0.005704147383963996,0.023410871901942357,0.052525891187848714,0.18596919936182832,lh_parsorbitalis
BCEtP,-0.010104102364112622,0.020627769433191626,0.05135964123049587,0.26956949671707653,rh_parsorbitalis
BCEtP,-0.05159082024688115,-0.02390177272021307,0.003787274806455007,0.1556447989012686,lh_posteriorcingulate
BCEtP,-0.018813209317819976,-2.8940838707412964e-4,0.018234392543671714,0.9794977971698894,rh_posteriorcingulate
BCEtP,-0.035448474103803244,-0.0034269421143576003,0.02859458987508804,0.8602687082271571,lh_rostralanteriorcingulate
BCEtP,-0.03287182312582265,-0.001080866239691881,0.030710090646438887,0.9554026200961586,rh_rostralanteriorcingulate
BCEtP,-0.029981068800409735,0.0010479583496796282,0.03207698549976899,0.9556983553050173,lh_temporalpole
BCEtP,0.015460986139567763,0.06426428329092534,0.11306758044228293,0.030315261624090595,rh_temporalpole
BCEtP,6.178493292013504e-4,0.014708634759300447,0.028799420189399544,0.0859834168094249,caudalmiddlefrontal
BCEtP,-0.0029185539890147945,0.01069151651044153,0.024301587009897853,0.19631214559808507,cuneus
BCEtP,-0.01693295460628757,0.026356878269496335,0.06964671114528023,0.3166025627011858,entorhinal
BCEtP,-0.0074519047272774384,0.008950679405552484,0.025353263538382406,0.3694119110617682,fusiform
BCEtP,-0.015010855886776302,0.003305487382367006,0.021621830651510313,0.7665878495711711,inferiorparietal
BCEtP,-0.019345788061579043,0.002430918190369712,0.024207624442318464,0.8543164069616274,inferiortemporal
BCEtP,-0.012279320054748428,0.0027970325783320113,0.01787338521141245,0.7602438202124906,lateraloccipital
BCEtP,-0.018456629428389913,0.0011638566770207784,0.020784342782431468,0.9222736240168058,lateralorbitofrontal
BCEtP,-0.018253181340764972,-0.0030077182026549956,0.01223774493545498,0.7455543879755202,lingual
BCEtP,-0.02569902198560091,-0.008559640436606153,0.008579741112388605,0.4113829953804583,medialorbitofrontal
BCEtP,-0.018815304732067353,8.323556611181415e-4,0.020480016054303638,0.9444461629622856,middletemporal
BCEtP,-0.0051417171258053875,0.028592051984271383,0.06232582109434816,0.16327404751149477,parahippocampal
BCEtP,-0.0026937224078160855,0.012777604952521674,0.028248932312859434,0.17431550218957814,paracentral
BCEtP,-0.033670668192303826,-0.01630933565310925,0.0010519968860853261,0.12230153152013756,parstriangularis
BCEtP,-0.011014967580821346,0.007219129869434955,0.025453227319691258,0.5149043751691529,pericalcarine
BCEtP,-0.01433963302033053,0.00318520358551137,0.02071004019135327,0.7649719365720132,postcentral
BCEtP,3.708256434784077e-4,0.014970146689389903,0.029569467735301398,0.09167389732600562,precentral
BCEtP,-0.006434418633656434,0.007806924876020036,0.022048268385696505,0.36722262368417713,precuneus
BCEtP,-0.010417335483705381,0.005210998509654753,0.02083933250301489,0.5833842692551212,rostralmiddlefrontal
BCEtP,-0.009194853529228554,0.009361617231658128,0.02791808799254481,0.40664179571350234,superiorfrontal
BCEtP,-0.012727651047582455,0.002299499057362339,0.017326649162307133,0.8012726646475992,superiorparietal
BCEtP,-0.008582907499418724,0.009473698765388687,0.0275303050301961,0.38813757143960215,superiortemporal
BCEtP,-0.014315557285827169,0.002325579724351172,0.01896671673452951,0.8181955867124515,supramarginal
BCEtP,-0.02472461617627638,-1.1610110289401136e-4,0.02449241397048836,0.9938082431073976,transversetemporal
BCEtP,-0.03413477100108042,-0.017369533848032543,-6.042966949846677e-4,0.088354606566729,insula
BCEtP,-0.00898401846115941,0.003177793653396287,0.015339605767951982,0.6673495929232929,MeanThickness
BDCPP,-0.01820469431619117,0.01222927182101636,0.04266323795822389,0.5086437009313505,lh_bankssts
BDCPP,-0.031328509168598764,0.004771124399997467,0.0408707579685937,0.82790222338253,rh_bankssts
BDCPP,-0.07247026530248939,-0.03648597678951512,-5.016882765408598e-4,0.0953582234667234,lh_caudalanteriorcingulate
BDCPP,-0.05497627266693294,-0.022230718187503426,0.010514836291926087,0.26413154235555103,rh_caudalanteriorcingulate
BDCPP,-0.06510385518349418,-0.018726322298362765,0.027651210586768653,0.5065885062215725,lh_frontalpole
BDCPP,0.00384577013181666,0.044932982228656326,0.08602019432549599,0.07204839126080342,rh_frontalpole
BDCPP,-0.01179752210103233,0.008648225156308576,0.029093972413649482,0.48658737178183487,lh_isthmuscingulate
BDCPP,-0.015987097036311668,0.014451785468682407,0.04489066797367648,0.4348352563215411,rh_isthmuscingulate
