term,window,conf.low,estimate,conf.high,p.value,outcome
DBuP,prenatal,-7.349,8.460,24.269,0.37873274369387433,CC_Mid_Posterior
DBuP,3y,-7.349,8.460,24.269,0.37873274369387433,CC_Mid_Posterior
DPHP,birth,-20.240,-6.755,6.730,0.4099778716510225,CC_Mid_Posterior
DPHP,prenatal,-20.240,-6.755,6.730,0.4099778716510225,CC_Mid_Posterior
DPHP,3y,-20.240,-6.755,6.730,0.4099778716510225,CC_Mid_Posterior
BCEtP,birth,-16.298,1.666,19.630,0.8787806899380922,CC_Central
BCEtP,prenatal,-16.298,1.666,19.630,0.8787806899380922,CC_Central
BCEtP,3y,-16.298,1.666,19.630,0.8787806899380922,CC_Central
BDCPP,birth,-18.214,1.637,21.487,0.8921176316456928,CC_Central
BDCPP,prenatal,-18.214,1.637,21.487,0.8921176316456928,CC_Central
BDCPP,3y,-18.214,1.637,21.487,0.8921176316456928,CC_Central
DBuP,birth,-34.704,-9.356,15.992,0.5437601864530288,CC_Central
DBuP,prenatal,-34.704,-9.356,15.992,0.5437601864530288,CC_Central
DBuP,3y,-34.704,-9.356,15.992,0.5437601864530288,CC_Central
DPHP,birth,-19.691,13.491,46.673,0.5031758535935844,CC_Central
DPHP,prenatal,-39.901,-18.150,3.600,0.1698775586497847,CC_Central
DPHP,3y,8.393,53.507,98.621,0.05119636328616646,CC_Central
BCEtP,birth,-14.201,6.753,27.708,0.5960379629752135,CC_Mid_Anterior
BCEtP,prenatal,-14.201,6.753,27.708,0.5960379629752135,CC_Mid_Anterior
BCEtP,3y,-14.201,6.753,27.708,0.5960379629752135,CC_Mid_Anterior
BDCPP,birth,-18.094,-0.066,17.962,0.9951955010247733,CC_Mid_Anterior
BDCPP,prenatal,-18.094,-0.066,17.962,0.9951955010247733,CC_Mid_Anterior
BDCPP,3y,-18.094,-0.066,17.962,0.9951955010247733,CC_Mid_Anterior
DBuP,birth,-38.817,-14.750,9.317,0.31340825891157376,CC_Mid_Anterior
DBuP,prenatal,-38.817,-14.750,9.317,0.31340825891157376,CC_Mid_Anterior
DBuP,3y,-38.817,-14.750,9.317,0.31340825891157376,CC_Mid_Anterior
DPHP,birth,-49.562,-27.664,-5.766,0.03771378046309848,CC_Mid_Anterior
DPHP,prenatal,-49.562,-27.664,-5.766,0.03771378046309848,CC_Mid_Anterior
DPHP,3y,-14.612,37.244,89.099,0.23715868340882623,CC_Mid_Anterior
BCEtP,birth,-7.799,11.278,30.355,0.3308424190503798,CC_Anterior
BCEtP,prenatal,-7.799,11.278,30.355,0.3308424190503798,CC_Anterior
BCEtP,3y,-7.799,11.278,30.355,0.3308424190503798,CC_Anterior
BDCPP,birth,-0.320,16.174,32.667,0.10675628852185626,CC_Anterior
BDCPP,prenatal,-0.320,16.174,32.667,0.10675628852185626,CC_Anterior
BDCPP,3y,-0.320,16.174,32.667,0.10675628852185626,CC_Anterior
DBuP,birth,-15.125,9.905,34.935,0.5150971137204068,CC_Anterior
DBuP,prenatal,-70.527,-28.155,14.217,0.27406504173849644,CC_Anterior
DBuP,3y,-15.125,9.905,34.935,0.5150971137204068,CC_Anterior
DPHP,birth,-52.548,-17.360,17.829,0.4166466845775946,CC_Anterior
DPHP,prenatal,-54.879,-19.829,15.222,0.3516750435609476,CC_Anterior
DPHP,3y,-1.526,18.439,38.403,0.12873649732744452,CC_Anterior
BCEtP,birth,-6891.471,3718.701,14328.874,0.5642801183046711,BrainSegVol
BCEtP,prenatal,-6891.471,3718.701,14328.874,0.5642801183046711,BrainSegVol
BCEtP,3y,-6891.471,3718.701,14328.874,0.5642801183046711,BrainSegVol
BDCPP,birth,-6740.708,4856.925,16454.559,0.4909230165185915,BrainSegVol
BDCPP,prenatal,-6740.708,4856.925,16454.559,0.4909230165185915,BrainSegVol
BDCPP,3y,-6740.708,4856.925,16454.559,0.4909230165185915,BrainSegVol
DBuP,birth,-15875.154,-3653.553,8568.047,0.6229199025413918,BrainSegVol
DBuP,prenatal,-15875.154,-3653.553,8568.047,0.6229199025413918,BrainSegVol
DBuP,3y,-15875.154,-3653.553,8568.047,0.6229199025413918,BrainSegVol
DPHP,birth,-15055.650,-3302.703,8450.243,0.6439225648611739,BrainSegVol
DPHP,prenatal,-15055.650,-3302.703,8450.243,0.6439225648611739,BrainSegVol
