term,window,conf.low,estimate,conf.high,p.value,outcome
BDCPP,birth,-59.940,-3.411,53.118,0.9209418690753983,VentralDC
BDCPP,prenatal,-59.940,-3.411,53.118,0.9209418690753983,VentralDC
BDCPP,3y,-59.940,-3.411,53.118,0.9209418690753983,VentralDC
DBuP,birth,-49.039,40.333,129.705,0.45743273151741715,VentralDC
DBuP,prenatal,-88.762,-35.160,18.441,0.280610390921993,VentralDC
DBuP,3y,-88.762,-35.160,18.441,0.280610390921993,VentralDC
DPHP,birth,-75.525,-17.468,40.589,0.6206696306849915,VentralDC
DPHP,prenatal,-75.525,-17.468,40.589,0.6206696306849915,VentralDC
DPHP,3y,-75.525,-17.468,40.589,0.6206696306849915,VentralDC
BCEtP,birth,-18.514,-0.755,17.005,0.9442764955823004,choroid_plexus
BCEtP,prenatal,-18.514,-0.755,17.005,0.9442764955823004,choroid_plexus
BCEtP,3y,-18.514,-0.755,17.005,0.9442764955823004,choroid_plexus
BDCPP,birth,-32.577,-10.410,11.756,0.4393498170421474,choroid_plexus
BDCPP,prenatal,-36.877,-13.264,10.348,0.355048560727242,choroid_plexus
BDCPP,3y,3.357,17.326,31.295,0.041334285850317065,choroid_plexus
DBuP,birth,-13.946,4.199,22.344,0.7034546163783704,choroid_plexus
DBuP,prenatal,-13.946,4.199,22.344,0.7034546163783704,choroid_plexus
DBuP,3y,-13.946,4.199,22.344,0.7034546163783704,choroid_plexus
DPHP,birth,-40.541,-13.164,14.214,0.4285341756583444,choroid_plexus
DPHP,prenatal,-32.137,-4.357,23.424,0.7961819614416653,choroid_plexus
DPHP,3y,2.934,19.953,36.972,0.053799508244228855,choroid_plexus
BCEtP,birth,-963.165,1055.527,3074.219,0.3897584770655411,CortexVol
BCEtP,prenatal,-963.165,1055.527,3074.219,0.3897584770655411,CortexVol
BCEtP,3y,-963.165,1055.527,3074.219,0.3897584770655411,CortexVol
BDCPP,birth,-1907.014,1239.449,4385.913,0.5170252165916045,CortexVol
BDCPP,prenatal,-1907.014,1239.449,4385.913,0.5170252165916045,CortexVol
BDCPP,3y,-1907.014,1239.449,4385.913,0.5170252165916045,CortexVol
DBuP,birth,-4004.529,-238.574,3527.381,0.9170092323031042,CortexVol
DBuP,prenatal,-4004.529,-238.574,3527.381,0.9170092323031042,CortexVol
DBuP,3y,-4004.529,-238.574,3527.381,0.9170092323031042,CortexVol
DPHP,birth,-4449.525,-1183.628,2082.269,0.551089328068696,CortexVol
DPHP,prenatal,-4449.525,-1183.628,2082.269,0.551089328068696,CortexVol
DPHP,3y,-4449.525,-1183.628,2082.269,0.551089328068696,CortexVol
BCEtP,birth,-1694.364,1118.838,3932.040,0.5129994517614436,CerebralWhiteMatterVol
BCEtP,prenatal,-1694.364,1118.838,3932.040,0.5129994517614436,CerebralWhiteMatterVol
BCEtP,3y,-1694.364,1118.838,3932.040,0.5129994517614436,CerebralWhiteMatterVol
BDCPP,birth,-2476.625,475.876,3428.376,0.7909225881594175,CerebralWhiteMatterVol
BDCPP,prenatal,-2476.625,475.876,3428.376,0.7909225881594175,CerebralWhiteMatterVol
BDCPP,3y,-2476.625,475.876,3428.376,0.7909225881594175,CerebralWhiteMatterVol
DBuP,birth,-3744.270,-910.007,1924.257,0.5974168472206275,CerebralWhiteMatterVol
DBuP,prenatal,-3744.270,-910.007,1924.257,0.5974168472206275,CerebralWhiteMatterVol
DBuP,3y,-3744.270,-910.007,1924.257,0.5974168472206275,CerebralWhiteMatterVol
DPHP,birth,-4360.687,-1441.622,1477.443,0.41659975149003803,CerebralWhiteMatterVol
DPHP,prenatal,-4360.687,-1441.622,1477.443,0.41659975149003803,CerebralWhiteMatterVol
DPHP,3y,-4360.687,-1441.622,1477.443,0.41659975149003803,CerebralWhiteMatterVol
BCEtP,birth,-587.406,267.079,1121.565,0.6071694780138935,surface_area
BCEtP,prenatal,-587.406,267.079,1121.565,0.6071694780138935,surface_area
BCEtP,3y,-587.406,267.079,1121.565,0.6071694780138935,surface_area
BDCPP,birth,-356.720,591.930,1540.580,0.30473090787194457,surface_area
BDCPP,prenatal,-356.720,591.930,1540.580,0.30473090787194457,surface_area
BDCPP,3y,-356.720,591.930,1540.580,0.30473090787194457,surface_area
DBuP,birth,-1435.519,-362.390,710.739,0.5785809486492298,surface_area
DBuP,prenatal,-1435.519,-362.390,710.739,0.5785809486492298,surface_area
DBuP,3y,-1435.519,-362.390,710.739,0.5785809486492298,surface_area
DPHP,birth,-1424.217,-420.442,583.333,0.49084545941544033,surface_area
DPHP,prenatal,-1424.217,-420.442,583.333,0.49084545941544033,surface_area
DPHP,3y,-1424.217,-420.442,583.333,0.49084545941544033,surface_area
BCEtP,birth,-6435.770,3947.052,14329.875,0.5317776793364155,total_brain
BCEtP,prenatal,-6435.770,3947.052,14329.875,0.5317776793364155,total_brain
BCEtP,3y,-6435.770,3947.052,14329.875,0.5317776793364155,total_brain
BDCPP,birth,-6696.777,4926.531,16549.840,0.4856963713956465,total_brain
BDCPP,prenatal,-6696.777,4926.531,16549.840,0.4856963713956465,total_brain
BDCPP,3y,-6696.777,4926.531,16549.840,0.4856963713956465,total_brain
DBuP,birth,-15971.246,-3926.783,8117.679,0.5917776798733528,total_brain
DBuP,prenatal,-15971.246,-3926.783,8117.679,0.5917776798733528,total_brain
DBuP,3y,-15971.246,-3926.783,8117.679,0.5917776798733528,total_brain
DPHP,birth,-15022.740,-3536.502,7949.736,0.6125515917373522,total_brain
DPHP,prenatal,-15022.740,-3536.502,7949.736,0.6125515917373522,total_brain
DPHP,3y,-15022.740,-3536.502,7949.736,0.6125515917373522,total_brain
